team,wins,losses
Indiana,27,15
Golden State,10,34
Dallas,27,15
Houston,26,15
San Antonio,17,23
Denver,29,12
Portland,18,26
Denver,29,12
Portland,18,26
Houston,26,15
Dallas,27,15
Miami,29,12
San Antonio,17,23
Houston,26,15
Phoenix,18,24
Boston,27,14
Washington,13,28
Cleveland,12,31
New York,11,32
Boston,27,14
Detroit,16,27
Toronto,28,14
Oklahoma City,24,19
New Orleans,16,27
Memphis,20,22
Los Angeles,34,8
Los Angeles,34,8
Minnesota,15,27
San Antonio,17,23
San Antonio,17,23
Dallas,27,15
Atlanta,10,33
Chicago,16,28
Cleveland,12,31
Portland,18,26
Denver,29,12
LA,30,13
Phoenix,18,24
Oklahoma City,24,19
Denver,29,12
